;;;;;;
pos_nr;name;points;pointValue;federalState;billingGroup;
GLV1;Grundleistung (bis 500 Fälle);37.00;1;oberoesterreich;Grundleistung;
KIZU;Zuschlag Kleinkinder (bis 6J);6.70;1;oberoesterreich;Grundleistung;
1;Tagesordination Sonn- und Feiertag;10.45;1;oberoesterreich;Ordination;
1a;Tagesordination Werktag (ab 3. Inanspruchnahme);8.15;1;oberoesterreich;Ordination;
3;Besuch bei Tag an Werktagen;36.78;1;oberoesterreich;Besuch;
4;Dringender Besuch (während Ordination);40.22;1;oberoesterreich;Besuch;
7;Längere Verweildauer (je 30 Min);30;0.53;oberoesterreich;Sonderleistung;
10;Ausführlicher Befundbericht;19;0.53;oberoesterreich;Sonderleistung;
10a;Ausführliche therapeutische Aussprache;19.00;1;oberoesterreich;Sonderleistung;
10b;Psychosomatisch Gespräch (20 Min);31.00;1;oberoesterreich;Sonderleistung;
10c;Kurzintervention Rauchstopp;6.27;1;oberoesterreich;Sonderleistung;
11;Blutentnahme Vene Kind (<6J);15;0.53;oberoesterreich;Sonderleistung;
11a;Blutentnahme Vene;4;0.53;oberoesterreich;Sonderleistung;
12;Aderlass;15;0.53;oberoesterreich;Sonderleistung;
13;Subkutane oder intramuskuläre Injektion;3;0.53;oberoesterreich;Sonderleistung;
14;Intravenöse Injektion;5;0.53;oberoesterreich;Sonderleistung;
20;Intraarticuläre Injektion;30;0.53;oberoesterreich;Sonderleistung;
22;Oberflächliche Infiltration (Quaddeln);15;0.53;oberoesterreich;Sonderleistung;
23;Mehrschichtige Infiltration (Nerv/Muskel);40;0.53;oberoesterreich;Sonderleistung;
27;Intravenöse Tropfinfusion;24;0.53;oberoesterreich;Sonderleistung;
33;Punktion eines großen Gelenkes;15;0.53;oberoesterreich;Sonderleistung;
40;Lokalanästhesie (Injektion);15;0.53;oberoesterreich;Sonderleistung;
47;Blasenkatheter (weiblich);9;0.53;oberoesterreich;Sonderleistung;
54;Akupunktur je Sitzung;46;0.53;oberoesterreich;Sonderleistung;
59;Reanimation (Herz-Lungen-Wiederbelebung);250;0.53;oberoesterreich;Behandlung;
83;Incision Abszess oder Furunkel;33.19;0.53;oberoesterreich;Behandlung;
91;Nagelentfernung (Finger/Zehe);45;0.53;oberoesterreich;Behandlung;
94;Warzenentfernung (Kaustik/Excision);15;0.53;oberoesterreich;Behandlung;
97;Excision und Naht Wunde;120;0.53;oberoesterreich;Behandlung;
110;Wundnaht (Verletzungsnaht);68.09;0.53;oberoesterreich;Behandlung;
110a;Naht- oder Klammerentfernung;7.66;0.53;oberoesterreich;Behandlung;
160;Chirotherapie Wirbelsäule (1. Sitzung);50;0.53;oberoesterreich;Therapie;
165;Verbandwechsel großflächig;13.06;1;oberoesterreich;Sonderleistung;
331;12-Ableitungs-EKG inkl. Befund;106;0.31;oberoesterreich;Untersuchung;
266;Spirographie klein (Lungenfunktion);30;0.53;oberoesterreich;Untersuchung;
269;Ultraschall Abdomen (Bauchorgane);50.33;1;oberoesterreich;Untersuchung;
1002a;Blutbild eingeschränkt (Labor);30;0.19;oberoesterreich;Sonderleistung;
1164a;CRP quantitativ (Labor);21.68;0.19;oberoesterreich;Sonderleistung;
1033a;Blutzucker Schnelltest (Labor);8.00;1;oberoesterreich;Sonderleistung;
1222a;Harnstreifentest (Labor);7;0.19;oberoesterreich;Sonderleistung;
1281a;Stuhl auf Blut (Labor);6;0.19;oberoesterreich;Sonderleistung;
1324a;Streptokokken Schnelltest;34.1;0.53;oberoesterreich;Sonderleistung;
VU1;Vorsorgeuntersuchung (Gesamtpaket);88.00;1;oberoesterreich;Untersuchung;
MU1;Mutter-Kind-Pass (Schwangere 1. Unters.);31.55;1;oberoesterreich;Untersuchung;
MU2;Mutter-Kind-Pass (Schwangere 2. Unters.);31.55;1;oberoesterreich;Untersuchung;
KU1;Mutter-Kind-Pass (Kind 1. Unters.);38.16;1;oberoesterreich;Untersuchung;
10y;Diabetes Quartalscheck (Therapie Aktiv);25.89;1;oberoesterreich;Untersuchung;
10z;Diabetes Jahrescheck (Therapie Aktiv);54.43;1;oberoesterreich;Untersuchung;
W1;Wegegebühr Tag (pro Kilometer);1.53;1;oberoesterreich;Besuch;
PERS;Kennzeichen persönliche Behandlung;0;1;oberoesterreich;Ordination;
